mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_flaml,erro,erro_absoluto
2024-02-01,AL,NORDESTE,5.67,5.604355664400747,0.06564433559925309,0.06564433559925309
2023-12-01,SP,SUDESTE,5.5,5.434568428716572,0.06543157128342791,0.06543157128342791
2024-01-01,BA,NORDESTE,5.79,5.727190979088591,0.06280902091140916,0.06280902091140916
2021-02-01,AL,NORDESTE,5.058,4.9956928208591584,0.062307179140841384,0.062307179140841384
2025-12-01,MS,CENTRO OESTE,5.96,6.021973184946376,-0.061973184946375603,0.061973184946375603
2022-03-01,SC,SUL,6.832,6.89310502008483,-0.06110502008483021,0.06110502008483021
2023-08-01,PR,SUL,5.81,5.870441345395609,-0.06044134539560897,0.06044134539560897
2021-12-01,MT,CENTRO OESTE,6.629,6.568839643629328,0.06016035637067141,0.06016035637067141
2021-07-01,SP,SUDESTE,5.474,5.53344367423842,-0.059443674238419675,0.059443674238419675
2021-07-01,RR,NORTE,5.475,5.534293660399693,-0.059293660399693415,0.059293660399693415
2024-06-01,TO,NORTE,6.04,6.099110777177211,-0.05911077717721103,0.05911077717721103
2025-07-01,PR,SUL,6.48,6.421116056545459,0.05888394345454184,0.05888394345454184
2021-06-01,PI,NORDESTE,5.997,5.938239010348459,0.05876098965154064,0.05876098965154064
2022-10-01,DF,CENTRO OESTE,5.0,5.058317850175055,-0.05831785017505542,0.05831785017505542
2024-08-01,GO,CENTRO OESTE,5.94,5.99744519883456,-0.057445198834559896,0.057445198834559896
2025-02-01,SE,NORDESTE,6.57,6.512876825411578,0.05712317458842264,0.05712317458842264
2025-05-01,RR,NORTE,6.95,7.007097437695389,-0.057097437695389,0.057097437695389
2024-09-01,MG,SUDESTE,6.16,6.103501852484717,0.05649814751528304,0.05649814751528304
2025-01-01,ES,SUDESTE,6.2,6.143877149173206,0.056122850826794135,0.056122850826794135
2023-02-01,SE,NORDESTE,5.06,5.0041148931937744,0.05588510680622516,0.05588510680622516
2024-03-01,TO,NORTE,5.88,5.935660981681689,-0.055660981681689314,0.055660981681689314
2022-02-01,AP,NORTE,5.871,5.926363878222257,-0.055363878222256524,0.055363878222256524
2024-08-01,SE,NORDESTE,6.42,6.364885619632176,0.05511438036782401,0.05511438036782401
2025-07-01,SC,SUL,6.38,6.3249174494786375,0.05508255052136235,0.05508255052136235
2025-05-01,DF,CENTRO OESTE,6.61,6.5553214792309005,0.05467852076909985,0.05467852076909985
2024-06-01,PI,NORDESTE,5.69,5.63640168130544,0.053598318694560554,0.053598318694560554
2021-01-01,AC,NORTE,5.229,5.175968272871038,0.0530317271289622,0.0530317271289622
2024-03-01,SP,SUDESTE,5.61,5.557012230462734,0.052987769537266693,0.052987769537266693
2022-07-01,RS,SUL,5.95,6.002586096593701,-0.05258609659370084,0.05258609659370084
2023-09-01,AL,NORDESTE,5.86,5.808126736427568,0.05187326357243194,0.05187326357243194
2022-05-01,ES,SUDESTE,7.46,7.408504146162188,0.05149585383781208,0.05149585383781208
2022-09-01,MT,CENTRO OESTE,5.06,5.008880067037594,0.05111993296240591,0.05111993296240591
2025-04-01,BA,NORDESTE,6.37,6.421080554069639,-0.05108055406963885,0.05108055406963885
2025-02-01,RN,NORDESTE,6.72,6.669416308754117,0.050583691245882356,0.050583691245882356
2021-06-01,AL,NORDESTE,5.863,5.9132568445823255,-0.050256844582325044,0.050256844582325044
2023-10-01,SC,SUL,5.8,5.750177630021212,0.04982236997878786,0.04982236997878786
2023-07-01,SP,SUDESTE,5.42,5.370837779793423,0.049162220206577345,0.049162220206577345
2024-12-01,MG,SUDESTE,6.07,6.0211541655051946,0.04884583449480573,0.04884583449480573
2025-06-01,SC,SUL,6.43,6.381257069478155,0.04874293052184431,0.04874293052184431
2023-06-01,SE,NORDESTE,5.47,5.421468309441277,0.04853169055872275,0.04853169055872275
2024-07-01,AC,NORTE,7.15,7.1984634676440695,-0.04846346764406917,0.04846346764406917
2021-04-01,RR,NORTE,5.352,5.303953974925164,0.048046025074836685,0.048046025074836685
2025-12-01,PI,NORDESTE,5.81,5.85773525115256,-0.04773525115256039,0.04773525115256039
2025-08-01,PA,NORTE,6.23,6.276947039501389,-0.04694703950138823,0.04694703950138823
2023-09-01,AM,NORTE,6.6,6.553258397345216,0.046741602654783776,0.046741602654783776
2022-02-01,MA,NORDESTE,6.52,6.473458917551784,0.046541082448215754,0.046541082448215754
2021-10-01,RO,NORTE,6.376,6.3295982715334835,0.0464017284665168,0.0464017284665168
2022-11-01,SC,SUL,5.13,5.084176345415956,0.04582365458404425,0.04582365458404425
2021-04-01,PA,NORTE,5.474,5.519641032326335,-0.04564103232633521,0.04564103232633521
2021-04-01,SE,NORDESTE,5.628,5.582622986185314,0.045377013814686507,0.045377013814686507
2025-07-01,DF,CENTRO OESTE,6.44,6.395770421640835,0.04422957835916552,0.04422957835916552
2025-11-01,DF,CENTRO OESTE,6.35,6.3929902344078995,-0.04299023440789984,0.04299023440789984
2023-02-01,MG,SUDESTE,4.97,5.012841412554085,-0.042841412554085245,0.042841412554085245
2025-02-01,MS,CENTRO OESTE,6.15,6.1927705499620975,-0.04277054996209717,0.04277054996209717
2024-01-01,PB,NORDESTE,5.44,5.397899170762737,0.042100829237263326,0.042100829237263326
2023-08-01,TO,NORTE,6.09,6.048637041045296,0.041362958954703544,0.041362958954703544
2023-06-01,TO,NORTE,5.61,5.65134658119735,-0.041346581197349686,0.041346581197349686
2025-11-01,PR,SUL,6.46,6.41869095261955,0.041309047380449826,0.041309047380449826
2021-01-01,MA,NORDESTE,4.585,4.626289194653646,-0.041289194653646,0.041289194653646
2022-11-01,RO,NORTE,5.17,5.128771033327506,0.041228966672494316,0.041228966672494316
2024-06-01,RO,NORTE,6.38,6.3387865137646955,0.04121348623530441,0.04121348623530441
2023-09-01,RN,NORDESTE,6.16,6.201086627010066,-0.041086627010066046,0.041086627010066046
2024-10-01,AM,NORTE,6.97,6.9296321191021155,0.040367880897884234,0.040367880897884234
2025-07-01,PI,NORDESTE,5.88,5.920332302769998,-0.040332302769997774,0.040332302769997774
2023-02-01,TO,NORTE,5.27,5.230098104654156,0.03990189534584321,0.03990189534584321
2023-08-01,PI,NORDESTE,5.68,5.640192892366034,0.039807107633965444,0.039807107633965444
2023-04-01,SE,NORDESTE,5.39,5.4290082799341395,-0.0390082799341398,0.0390082799341398
2021-12-01,RO,NORTE,6.7,6.661123693415218,0.03887630658478258,0.03887630658478258
2025-01-01,PB,NORDESTE,6.04,6.001852335845241,0.03814766415475912,0.03814766415475912
2021-01-01,RO,NORTE,4.782,4.744656809440357,0.037343190559642636,0.037343190559642636
2024-07-01,CE,NORDESTE,6.25,6.213587967706778,0.03641203229322176,0.03641203229322176
2023-04-01,MA,NORDESTE,5.44,5.403981094158002,0.03601890584199818,0.03601890584199818
2025-06-01,MG,SUDESTE,6.12,6.084044654118793,0.035955345881206746,0.035955345881206746
2025-11-01,RJ,SUDESTE,6.1,6.135893957505322,-0.03589395750532276,0.03589395750532276
2022-02-01,PR,SUL,6.474,6.439063402241828,0.03493659775817193,0.03493659775817193
2024-08-01,PB,NORDESTE,6.14,6.106068290691747,0.033931709308252955,0.033931709308252955
2025-12-01,BA,NORDESTE,6.27,6.303922169044435,-0.03392216904443579,0.03392216904443579
2023-07-01,CE,NORDESTE,5.92,5.88637514746638,0.03362485253362024,0.03362485253362024
2021-10-01,MS,CENTRO OESTE,6.217,6.250197197187042,-0.03319719718704217,0.03319719718704217
2022-02-01,RR,NORTE,6.48,6.512618402374826,-0.03261840237482527,0.03261840237482527
2024-07-01,PA,NORTE,6.1,6.067734564283922,0.032265435716077207,0.032265435716077207
2021-04-01,GO,CENTRO OESTE,5.694,5.72581115524537,-0.031811155245369704,0.031811155245369704
2024-12-01,GO,CENTRO OESTE,6.2,6.169541405843215,0.030458594156785423,0.030458594156785423
2021-09-01,SE,NORDESTE,6.176,6.206350672835121,-0.030350672835121273,0.030350672835121273
2025-10-01,RS,SUL,6.2,6.169774331119766,0.03022566888023448,0.03022566888023448
2021-10-01,RJ,SUDESTE,6.875,6.905064385580912,-0.0300643855809124,0.0300643855809124
2021-01-01,ES,SUDESTE,4.642,4.671829996564107,-0.02982999656410623,0.02982999656410623
2024-02-01,PE,NORDESTE,5.68,5.70903736084952,-0.029037360849520688,0.029037360849520688
2024-05-01,MS,CENTRO OESTE,5.69,5.661082703862217,0.028917296137783488,0.028917296137783488
2022-01-01,PA,NORTE,6.79,6.76205474411667,0.02794525588333041,0.02794525588333041
2023-05-01,GO,CENTRO OESTE,5.43,5.45794271569866,-0.02794271569866069,0.02794271569866069
2024-12-01,TO,NORTE,6.52,6.492266471048416,0.02773352895158343,0.02773352895158343
2023-11-01,TO,NORTE,5.86,5.8328023368992215,0.02719766310077887,0.02719766310077887
2024-11-01,GO,CENTRO OESTE,6.03,6.057057439462141,-0.027057439462140565,0.027057439462140565
2025-09-01,PA,NORTE,6.25,6.2768123703771215,-0.026812370377121475,0.026812370377121475
2023-05-01,SC,SUL,5.55,5.5765346166333725,-0.026534616633372643,0.026534616633372643
2022-09-01,TO,NORTE,5.35,5.3235397202498245,0.026460279750175175,0.026460279750175175
2022-10-01,AC,NORTE,5.3,5.3264286499761315,-0.026428649976131702,0.026428649976131702
2022-04-01,PA,NORTE,7.353,7.326777931033543,0.02622206896645718,0.02622206896645718
2024-11-01,AP,NORTE,5.91,5.884154943478465,0.025845056521535348,0.025845056521535348
2023-11-01,BA,NORDESTE,5.89,5.864294269887006,0.025705730112993486,0.025705730112993486
2023-04-01,PA,NORTE,5.45,5.475460579102774,-0.02546057910277355,0.02546057910277355
2022-06-01,RN,NORDESTE,7.57,7.544581984357567,0.02541801564243329,0.02541801564243329
2022-12-01,CE,NORDESTE,5.07,5.045279615684827,0.024720384315172872,0.024720384315172872
2024-10-01,AL,NORDESTE,6.12,6.1443243524538165,-0.024324352453816367,0.024324352453816367
2023-11-01,AM,NORTE,6.52,6.544048433901732,-0.024048433901732835,0.024048433901732835
2023-06-01,SP,SUDESTE,5.27,5.293459052274307,-0.023459052274307446,0.023459052274307446
