mes_ano,uf,preco_medio_etanol_hidratado,preco_medio_gasolina_c,volume_etanol_hidratado_m3,volume_gasolina_c_m3,uf_nome,regiao,volume_total_analisado_m3,participacao_etanol,razao_etanol_gasolina,preco_relativo_etanol_gasolina,variacao_preco_gasolina_c,variacao_volume_gasolina_c,ano,mes
2023-11-01,PI,4.02,5.38,5943.2,52294.44,PIAUI,NORDESTE,58237.64,0.10205083859854211,0.11364879325603257,0.7472118959107806,-0.023593466424682408,-0.026011063306699445,2023,11
2023-12-01,PI,4.0,5.27,6104.9,58169.7,PIAUI,NORDESTE,64274.6,0.09498153236270626,0.10494982783132799,0.7590132827324478,-0.020446096654275103,0.1123496111632516,2023,12
2024-01-01,PI,3.96,5.22,6622.3,57787.0,PIAUI,NORDESTE,64409.3,0.10281589770421352,0.11459843909529825,0.7586206896551725,-0.009487666034155517,-0.006579026537871013,2024,1
2024-02-01,PI,4.0,5.47,6545.5,47477.7,PIAUI,NORDESTE,54023.2,0.12116090864665552,0.13786472385983314,0.7312614259597806,0.04789272030651337,-0.17840171664907334,2024,2
2024-03-01,PI,3.98,5.52,7064.9,50767.5,PIAUI,NORDESTE,57832.4,0.12216162566312308,0.13916186536662234,0.7210144927536233,0.009140767824497242,0.06929147789383228,2024,3
2024-04-01,PI,4.06,5.66,7371.5,52987.0,PIAUI,NORDESTE,60358.5,0.12212861485954754,0.1391190291958405,0.7173144876325087,0.025362318840579823,0.043718914659969466,2024,4
2024-05-01,PI,4.13,5.73,7456.5,54400.7,PIAUI,NORDESTE,61857.2,0.12054376855079119,0.137066250985741,0.7207678883071552,0.012367491166077826,0.02668012908826678,2024,5
2024-06-01,PI,4.11,5.69,6402.5,50523.9,PIAUI,NORDESTE,56926.4,0.11246978554765451,0.1267222047387474,0.7223198594024605,-0.006980802792321161,-0.07126378888506946,2024,6
2024-07-01,PI,4.33,5.92,3720.5,57335.2,PIAUI,NORDESTE,61055.7,0.06093616157050038,0.06489032915207413,0.731418918918919,0.04042179261862899,0.1348134249335462,2024,7
2024-08-01,PI,4.48,6.0,3360.8,56685.0,PIAUI,NORDESTE,60045.8,0.05597060910171902,0.05928905354150128,0.7466666666666667,0.013513513513513598,-0.011340328454422344,2024,8
2024-09-01,PI,4.52,5.97,3376.8,55975.3,PIAUI,NORDESTE,59352.100000000006,0.056894364310614114,0.06032660834332286,0.7571189279731992,-0.0050000000000000044,-0.012520067037135041,2024,9
2024-10-01,PI,4.53,5.94,4055.8,60210.8,PIAUI,NORDESTE,64266.600000000006,0.06310898662757948,0.06736000850345786,0.7626262626262627,-0.005025125628140614,0.07566730325697235,2024,10
2024-11-01,PI,4.47,5.88,3743.4,54137.35,PIAUI,NORDESTE,57880.75,0.0646743520082238,0.06914634720761176,0.7602040816326531,-0.010101010101010166,-0.10086977751499737,2024,11
2024-12-01,PI,4.54,5.92,3973.8,61093.771,PIAUI,NORDESTE,65067.571,0.06107189708987293,0.06504427431726223,0.7668918918918919,0.006802721088435382,0.12849577971585235,2024,12
2025-01-01,PI,4.61,5.96,3363.5,57213.4,PIAUI,NORDESTE,60576.9,0.055524465596621816,0.058788675380243086,0.7734899328859061,0.006756756756756799,-0.06351500220865391,2025,1
2025-02-01,PI,4.71,6.08,2782.9,48378.9,PIAUI,NORDESTE,51161.8,0.054394098722093435,0.05752301106474103,0.774671052631579,0.020134228187919545,-0.15441312699472498,2025,2
2025-03-01,PI,4.7,6.04,2943.9,51556.9,PIAUI,NORDESTE,54500.8,0.05401572087015236,0.05710001959000638,0.7781456953642384,-0.006578947368421018,0.06568979451785806,2025,3
2025-04-01,PI,4.69,5.96,2818.887,56363.881,PIAUI,NORDESTE,59182.768000000004,0.047630198709191836,0.05001229422083266,0.7869127516778525,-0.013245033112582738,0.09323642422255807,2025,4
2025-05-01,PI,4.64,5.86,2614.3,56740.1,PIAUI,NORDESTE,59354.4,0.044045597293545215,0.046074998105396364,0.7918088737201364,-0.016778523489932806,0.006674824254915945,2025,5
2025-06-01,PI,4.62,5.86,2194.0,55191.6,PIAUI,NORDESTE,57385.6,0.03823258796631908,0.03975242609382587,0.78839590443686,0.0,-0.027291104527485843,2025,6
2025-07-01,PI,4.59,5.88,5619.5,60853.5,PIAUI,NORDESTE,66473.0,0.084538083131497,0.09234472955540766,0.7806122448979592,0.0034129692832762792,0.10258626312699759,2025,7
2025-08-01,PI,4.56,5.82,5736.5,57043.3,PIAUI,NORDESTE,62779.8,0.0913749327012829,0.10056395755505028,0.7835051546391751,-0.010204081632652962,-0.06261266812919553,2025,8
2025-09-01,PI,4.51,5.8,5772.5,59724.4,PIAUI,NORDESTE,65496.9,0.08813394221711256,0.09665228951651252,0.7775862068965517,-0.003436426116838587,0.04700113773221393,2025,9
